desa  ,longitude,latitude,luas_sawah_ha,kec
Pondokagung,112.327803,-7.840875,27,Kasembon
Bayem,112.32785,-7.810405,106.5,Kasembon
Pait,112.363629,-7.797927,164,Kasembon
Wonoagung,112.351681,-7.778578,79,Kasembon
Kasembon,112.345696,-7.804501,110.5,Kasembon
Sukosari,112.300984,-7.778699,220,Kasembon
Pagersari,112.375451,-7.929349,54,Ngantang
Sidodadi,112.399341,-7.9186,124,Ngantang
Banjarejo,112.396362,-7.900928,89,Ngantang
Purworejo,112.399285,-7.887795,97,Ngantang
Ngantru,112.348654,-7.913775,124,Ngantang
Banturejo,112.366561,-7.877107,55,Ngantang
Pandansari,112.348248,-7.882133,84,Ngantang
Mulyorejo,112.378466,-7.871207,102,Ngantang
Sumberagung,112.384408,-7.855579,107,Ngantang
Kaumrejo,112.363341,-7.848988,48,Ngantang
Tulungrejo,112.384284,-7.829791,112,Ngantang
Waturejo,112.372571,-7.835978,96.5,Ngantang
Jombok,112.372191,-7.815163,135,Ngantang
Bendosari,112.435016,-7.885315,23.11,Pujon
Sukomulyo,112.435062,-7.855084,89.9,Pujon
Pujon Kidul,112.461926,-7.856295,116.8,Pujon
Pujon Lor,112.473725,-7.84518,22.5,Pujon
Pandensari,112.470727,-7.883088,96.86,Pujon
Ngroto,112.461914,-7.841174,133.913,Pujon
Ngabab,112.435157,-7.835048,92.5,Pujon
Tawangsari,112.444133,-7.816381,147,Pujon
Madiredo,112.461897,-7.820305,157,Pujon
Wiyurejo,112.435364,-7.793146,195.5,Pujon
Kucur,112.51255,-7.957239,1,Dau
Kalisongo,112.586938,-7.965837,14,Dau
Karangwidoro,112.569061,-7.957058,38,Dau
Petungsewu,112.551339,-7.947902,30,Dau
Selorejo,112.539294,-7.938488,43,Dau
Tegalwaru,112.5633,-7.936809,33,Dau
Landungsari,112.586673,-7.930827,55,Dau
Mulyoagung,112.587063,-7.920433,45,Dau
Gadingkulon,112.545446,-7.927834,105,Dau
Sumbersekar,112.569167,-7.921507,85,Dau
Kelurahan Lawang,112.694331,-7.833104,1,Lawang
Kelurahan Kalirejo,112.700429,-7.847751,76,Lawang
Sidoluhur,112.733099,-7.889401,53,Lawang
Srigading,112.744842,-7.857694,23,Lawang
Sidodadi,112.712283,-7.857431,74,Lawang
Bedali,112.690469,-7.855917,75,Lawang
Mulyoarjo,112.712181,-7.837006,98,Lawang
Sumberngepoh,112.730234,-7.840976,123,Lawang
Sumberporong,112.71821,-7.826717,76,Lawang
Turirejo,112.694359,-7.822966,22,Lawang
Ketindan,112.664587,-7.829639,20,Lawang
Wonorejo,112.661502,-7.811865,1,Lawang
Kelurahan Losari,112.678011,-7.888738,25,Singosari
Kelurahan Pagentan,112.664432,-7.89575,50,Singosari
Kelurahan Candirenggo,112.664649,-7.880333,78,Singosari
Langlang,112.628638,-7.882288,94,Singosari
Tunjungtirto,112.640611,-7.912118,147,Singosari
Banjararum,112.664597,-7.915964,84,Singosari
Watugede,112.67647,-7.910291,105,Singosari
Dengkol,112.706247,-7.908621,62,Singosari
Wonorejo,112.742058,-7.901534,1,Singosari
Baturetno,112.700324,-7.888562,28,Singosari
Tamanharjo,112.682437,-7.899876,65,Singosari
Purwoasri,112.645091,-7.895438,108,Singosari
Klampok,112.628734,-7.861451,121,Singosari
Gunungrejo,112.613727,-7.802484,118,Singosari
Ardimulyo,112.676586,-7.879632,57,Singosari
Randuagung,112.676483,-7.864596,60,Singosari
Toyomarto,112.649448,-7.842823,120,Singosari
Tegalgondo,112.597508,-7.916187,133,Karangploso
Kepuharjo,112.622766,-7.9083,115,Karangploso
Ngenep,112.610913,-7.86827,180,Karangploso
Ngijo,112.604972,-7.899299,140,Karangploso
Ampeldento,112.597548,-7.90851,110,Karangploso
Girimoyo,112.594525,-7.890856,25,Karangploso
Bocek,112.592889,-7.863956,100,Karangploso
Donowarih,112.590029,-7.814851,150,Karangploso
Tawangargo,112.569231,-7.850178,180,Karangploso
Kenongo,112.767409,-7.985318,61,Jabung
Ngadirejo,112.81645,-7.985988,1,Jabung
Taji,112.821949,-7.957893,1,Jabung
Pandansari Lor,112.789874,-7.969937,128,Jabung
Sukopuro,112.777735,-7.980552,155,Jabung
Sidorejo,112.749458,-7.973646,106,Jabung
Sukolilo,112.737463,-7.946241,108,Jabung
Sidomulyo,112.759956,-7.961352,142,Jabung
Gadingkembar,112.783572,-7.954742,129,Jabung
Kemantren,112.741951,-7.93679,117,Jabung
Argosari,112.771829,-7.945216,107,Jabung
Slamparejo,112.771882,-7.935442,59,Jabung
Kemiri,112.768786,-7.897156,9,Jabung
Jabung,112.753927,-7.920914,44,Jabung
Gunungjati,112.724141,-7.912697,1,Jabung
Sekarpuro,112.674982,-7.967727,75,Pakis
Ampeldento,112.69288,-7.969236,149,Pakis
Sumber Kradenan,112.706273,-7.974794,144,Pakis
Kedungrejo,112.694399,-7.995734,66,Pakis
Banjarejo,112.71219,-7.99484,245,Pakis
Pucangsongo,112.718189,-7.984328,172,Pakis
Sukoanyar,112.742042,-7.982926,247,Pakis
Sumberpasir,112.736093,-7.973176,235.762,Pakis
Pakiskembar,112.72408,-7.968338,157,Pakis
Pakisjajar,112.724227,-7.953441,63,Pakis
Bunut Wetan,112.718411,-7.942924,89,Pakis
Asrikaton,112.694333,-7.949802,159,Pakis
Saptorenggo,112.700195,-7.929005,71,Pakis
Mangliawan,112.670391,-7.951226,83,Pakis
Tirtomoyo,112.676473,-7.935571,1,Pakis
Ngingit,112.700287,-8.031103,80.5,Tumpang
Kidal,112.694199,-8.021066,62.5,Tumpang
Kambingan,112.700273,-8.010798,67,Tumpang
Pandanajeng,112.724191,-8.014468,186,Tumpang
Pulungdowo,112.744875,-8.02063,363,Tumpang
Bokor,112.742103,-8.00329,97,Tumpang
Slamet,112.730247,-7.998992,161,Tumpang
Wringinsongo,112.747996,-7.992808,104,Tumpang
Jeru,112.770457,-7.992336,127,Tumpang
Malangsuko,112.773232,-7.999709,63,Tumpang
Tumpang,112.777723,-8.006244,139,Tumpang
Tulusbesar,112.765851,-8.017182,101,Tumpang
Benjor,112.825488,-7.998235,1,Tumpang
Duwet,112.800165,-8.013865,1,Tumpang
Duwetkrajan,112.819446,-8.019014,1,Tumpang
Dawuhan,112.768835,-8.090415,93.5,Poncokusumo
Sumberejo,112.804554,-8.088341,3,Poncokusumo
Pandansari,112.804503,-8.068035,1,Poncokusumo
Ngadireso,112.777769,-8.072288,81,Poncokusumo
Karanganyar,112.753977,-8.068651,147,Poncokusumo
Jambesari,112.735938,-8.069622,178,Poncokusumo
Pajaran,112.721179,-8.042528,152.2,Poncokusumo
Argosuko,112.73587,-8.032562,196,Poncokusumo
Ngebruk,112.735974,-8.049342,176,Poncokusumo
Karangnongko,112.756936,-8.050426,164.755,Poncokusumo
Wonomulyo,112.753898,-8.033057,110,Poncokusumo
Belung,112.765903,-8.027320,143,Poncokusumo
Wonorejo,112.783713,-8.046722,65,Poncokusumo
Poncokusumo,112.834257,-8.049679,1,Poncokusumo
Wringinanom,112.801563,-8.035185,1,Poncokusumo
Gubugklakah,112.843382,-8.012370,1,Poncokusumo
Ngadas,112.893989,-8.035874,1,Poncokusumo
Tambakasri,112.634747,-8.055285,122,Tajinan
Tangkilsari,112.652664,-8.054364,150.3,Tajinan
