longitude,latitude,cluster
112.327803,-7.840875,3
112.32785,-7.810405,3
112.363629,-7.797927,3
112.351681,-7.778578,3
112.345696,-7.804501,3
112.300984,-7.778699,3
112.375451,-7.929349,3
112.399341,-7.9186,3
112.396362,-7.900928,3
112.399285,-7.887795,3
112.348654,-7.913775,3
112.366561,-7.877107,3
112.348248,-7.882133,3
112.378466,-7.871207,3
112.384408,-7.855579,3
112.363341,-7.848988,3
112.384284,-7.829791,3
112.372571,-7.835978,3
112.372191,-7.815163,3
112.435016,-7.885315,3
112.435062,-7.855084,3
112.461926,-7.856295,3
112.473725,-7.84518,3
112.470727,-7.883088,3
112.461914,-7.841174,3
112.435157,-7.835048,3
112.444133,-7.816381,3
112.461897,-7.820305,3
112.435364,-7.793146,3
112.51255,-7.957239,4
112.586938,-7.965837,4
112.569061,-7.957058,4
112.551339,-7.947902,4
112.539294,-7.938488,4
112.5633,-7.936809,4
112.586673,-7.930827,4
112.587063,-7.920433,4
112.545446,-7.927834,4
112.569167,-7.921507,4
112.694331,-7.833104,4
112.700429,-7.847751,4
112.733099,-7.889401,4
112.744842,-7.857694,4
112.712283,-7.857431,4
112.690469,-7.855917,4
112.712181,-7.837006,4
112.730234,-7.840976,4
112.71821,-7.826717,4
112.694359,-7.822966,4
112.664587,-7.829639,4
112.661502,-7.811865,4
112.678011,-7.888738,4
112.664432,-7.89575,4
112.664649,-7.880333,4
112.628638,-7.882288,4
112.640611,-7.912118,4
112.664597,-7.915964,4
112.67647,-7.910291,4
112.706247,-7.908621,4
112.742058,-7.901534,4
112.700324,-7.888562,4
112.682437,-7.899876,4
112.645091,-7.895438,4
112.628734,-7.861451,4
112.613727,-7.802484,4
112.676586,-7.879632,4
112.676483,-7.864596,4
112.649448,-7.842823,4
112.597508,-7.916187,4
112.622766,-7.9083,4
112.610913,-7.86827,4
112.604972,-7.899299,4
112.597548,-7.90851,4
112.594525,-7.890856,4
112.592889,-7.863956,4
112.590029,-7.814851,4
112.569231,-7.850178,4
112.767409,-7.985318,5
112.81645,-7.985988,5
112.821949,-7.957893,5
112.789874,-7.969937,5
112.777735,-7.980552,5
112.749458,-7.973646,5
112.737463,-7.946241,5
112.759956,-7.961352,5
112.783572,-7.954742,5
112.741951,-7.93679,5
112.771829,-7.945216,5
112.771882,-7.935442,5
112.768786,-7.897156,5
112.753927,-7.920914,5
112.724141,-7.912697,4
112.674982,-7.967727,5
112.69288,-7.969236,5
112.706273,-7.974794,5
112.694399,-7.995734,5
112.71219,-7.99484,5
112.718189,-7.984328,5
112.742042,-7.982926,5
112.736093,-7.973176,5
112.72408,-7.968338,5
112.724227,-7.953441,5
112.718411,-7.942924,5
112.694333,-7.949802,5
112.700195,-7.929005,4
112.670391,-7.951226,4
112.676473,-7.935571,4
112.700287,-8.031103,5
112.694199,-8.021066,5
112.700273,-8.010798,5
112.724191,-8.014468,5
112.744875,-8.02063,5
112.742103,-8.00329,5
112.730247,-7.998992,5
112.747996,-7.992808,5
112.770457,-7.992336,5
112.773232,-7.999709,5
112.777723,-8.006244,5
112.765851,-8.017182,5
112.82548800000001,-7.998235,5
112.800165,-8.013865,5
112.819446,-8.019014,5
112.768835,-8.090415,5
112.804554,-8.088341,5
112.804503,-8.068035,5
112.777769,-8.072288,5
112.753977,-8.068651,5
112.735938,-8.069622,5
112.721179,-8.042528,5
112.73587,-8.032562,5
112.735974,-8.049342,5
112.756936,-8.050426,5
112.753898,-8.033057,5
112.765903,-8.02732,5
112.783713,-8.046722,5
112.834257,-8.049679,5
112.801563,-8.035185,5
112.843382,-8.01237,5
112.893989,-8.035874,5
112.634747,-8.055285,5
112.652664,-8.054364,5
112.660062,-8.07558,1
112.670503,-8.068512,5
112.689942,-8.078642,5
112.706298,-8.076551,5
112.700302,-8.061714,5
112.706484,-8.051253,5
112.694344,-8.04173,5
112.679334,-8.049909,5
112.670533,-8.058046,5
112.664638,-8.043168,5
112.612221,-8.110268,1
112.628765,-8.106638,1
112.640664,-8.105938,1
112.652685,-8.120606,1
112.670483,-8.124599,1
112.676433,-8.108977,1
112.682454,-8.098529,1
112.676429,-8.088551,1
112.658561,-8.09477,1
112.648128,-8.09133,1
112.628768,-8.091489,1
112.634802,-8.075761,1
112.64515,-8.07645,1
112.642966,-8.063078,1
112.694374,-8.16924,1
112.682409,-8.185275,1
112.652614,-8.227823,1
112.676449,-8.226376,1
112.658583,-8.212148,1
112.678032,-8.197121,1
112.680942,-8.204489,1
112.694341,-8.209736,1
112.70034,-8.189275,1
112.676465,-8.175012,1
112.676517,-8.160044,1
112.712178,-8.162841,1
112.741895,-8.150794,6
112.718183,-8.14749,1
112.700184,-8.143034,1
112.682318,-8.144213,1
112.694307,-8.128359,1
112.79711,-8.159606,6
112.789684,-8.148373,6
112.816311,-8.12818,6
112.777828,-8.143676,6
112.747935,-8.130241,5
112.768676,-8.120775,5
112.741991,-8.115414,5
112.720972,-8.134089,1
112.709146,-8.114535,1
112.700192,-8.097221,5
112.718177,-8.090981,5
112.736001,-8.100125,5
112.724128,-8.07052,5
112.56316700000001,-8.049031,7
112.591499,-8.074401,7
112.599053,-8.087977,7
112.610984,-8.071996,7
112.616923,-8.081932,1
112.621411,-8.065072,1
112.599054,-8.067656,7
112.575056,-8.048226,7
112.581085,-8.037912,7
112.603416,-8.050861,7
112.610983,-8.036082,7
112.622842,-8.050669,7
112.527679,-8.004881,7
112.599019,-8.032026,7
112.60648,-8.0226,7
112.59306,-8.016959,7
112.581051,-8.017678,7
112.563238,-8.008498,7
112.539496,-7.999377,7
112.551444,-7.993639,7
112.593097,-8.001429,7
112.569201,-7.987699,4
112.539422,-7.979194,7
112.581097,-7.976918,4
112.539118,-8.090872,7
112.546873,-8.112574,7
112.551315,-8.090515,7
112.56331,-8.089733,7
112.563333,-8.074583,7
112.56921,-8.064084,7
112.542359,-8.03203,7
112.506544,-8.02399,7
112.528898,-8.05727,7
112.482425,-8.073076,7
112.503975,-8.112673,7
112.521752,-8.111376,7
112.509546,-8.082372,7
112.506689,-8.054743,7
112.497859,-8.032688,7
112.485738,-8.048026,7
112.461845,-8.049584,7
112.515814,-8.166833,7
112.539469,-8.13535,7
112.509478,-8.132521,7
112.490001,-8.1302,7
112.470746,-8.1157,7
112.461711,-8.091896,7
112.485646,-8.113125,7
112.472907,-8.156903,7
112.485773,-8.166054,7
112.505457,-8.158365,7
112.509604,-8.178424,7
112.527165,-8.172371,7
112.527325,-8.156945,7
112.456045,-8.150918,7
112.570851,-8.131085,7
112.579484,-8.125332,7
112.561701,-8.138992,7
112.575303,-8.140208,7
112.545204,-8.172101,7
112.552692,-8.173046,7
112.561699,-8.167278,7
112.575178,-8.165087,1
112.545516,-8.156385,7
112.55739,-8.145959,7
112.579538,-8.148477,1
112.55279,-8.127716,7
112.56905,-8.114708,7
112.597746,-8.111033,1
112.605441,-8.09659,1
112.587805,-8.107004,7
112.575145,-8.103902,7
112.58276,-8.089475,7
112.585728,-8.150309,1
112.598996,-8.133952,1
112.598919,-8.15373,1
112.606419,-8.148913,1
112.626011,-8.169706,1
112.640998,-8.186023,1
112.64646,-8.164882,1
112.647147,-8.154909,1
112.661364,-8.186928,1
112.66476,-8.143762,1
112.64661,-8.140258,1
112.616661,-8.141499,1
112.62885,-8.12648,1
112.610932,-8.123038,1
112.580973,-8.184084,1
112.569084,-8.196335,1
112.593106,-8.203845,1
112.611069,-8.214007,1
112.622717,-8.227921,1
112.637727,-8.210555,1
112.616722,-8.198898,1
112.616967,-8.183687,1
112.593518,-8.173273,1
112.59908,-8.165801,1
112.399132,-8.212446,2
112.435068,-8.229903,2
112.458395,-8.238068,2
112.483974,-8.246625,2
112.470535,-8.205635,7
112.446426,-8.176892,7
112.423392,-8.18797,7
112.388212,-8.172186,7
112.434674,-8.25176,2
112.375845,-8.330538,2
112.424352,-8.275314,2
112.424352,-8.275314,2
112.438077,-8.304997,2
112.471698,-8.276795,2
112.44112,-8.342691,2
112.474793,-8.345366,2
112.482306,-8.359055,2
112.4236708,-8.3074658,2
112.6471579,-7.9353138,4
112.48292,-8.300143,2
112.515309,-8.284676,2
112.532883,-8.273758,2
112.506304,-8.254206,2
112.511264,-8.235336,2
112.541991,-8.22194,2
112.530435,-8.194923,7
112.507235,-8.196447,7
112.517974,-8.331231,2
112.533236,-8.345398,2
112.554235,-8.365613,2
112.569296,-8.323844,2
112.58051,-8.305421,2
112.566237,-8.28459,2
112.590048,-8.274994,2
112.589942,-8.242328,1
112.578102,-8.222695,1
112.554521,-8.245129,2
112.589339,-8.340664,2
112.614636,-8.362082,2
112.626104,-8.386407,2
112.64945,-8.389148,2
112.638039,-8.288193,2
112.637759,-8.27031,1
112.61461,-8.249376,1
112.6141707,-8.3063208,2
112.673694,-8.399382,2
112.697731,-8.406806,6
112.721427,-8.367117,6
112.744488,-8.36207,6
112.744525,-8.312557,6
112.721258,-8.307767,6
112.685217,-8.348941,6
112.697401,-8.298933,6
112.676366,-8.312649,6
112.670545,-8.281147,6
112.673314,-8.246877,1
112.693935,-8.248525,6
112.732932,-8.254042,6
112.753392,-8.265405,6
112.776254,-8.362294,6
112.755643,-8.207739,6
112.780902,-8.313872,6
112.791247,-8.28961,6
112.795621,-8.269654,6
112.780984,-8.240956,6
112.744483,-8.240369,6
112.784217,-8.207765,6
112.744877,-8.192084,6
112.720577,-8.222103,6
112.706273,-8.207549,6
112.724234,-8.176661,6
112.744303,-8.159149,6
112.82168,-8.345433,6
112.887774,-8.376383,6
112.864297,-8.295463,6
112.828214,-8.279753,6
112.840405,-8.257859,6
112.816817,-8.249451,6
112.801803,-8.223024,6
112.837411,-8.23126,6
112.837156,-8.209582,6
112.831608,-8.193685,6
112.807413,-8.201196,6
112.795973,-8.182016,6
112.829187,-8.153746,6
112.903129,-8.299886,6
112.86103,-8.264423,6
112.855392,-8.230251,6
112.876203,-8.257199,6
112.876591,-8.235262,6
112.903026,-8.251717,6
112.908588,-8.219197,6
112.89034,-8.221754,6
112.872968,-8.217388,6
112.855246,-8.203203,6
112.90004,-8.191165,6
112.873102,-8.183528,6
112.887921,-8.132899,6
